Time(s),Input,Output_Displacement
20.2,1.082,6.095
20.3,0.902,6.141
20.4,0.725,6.177
20.5,0.557,6.203
20.6,0.404,6.217
20.7,0.270,6.219
20.8,0.159,6.210
20.9,0.076,6.189
21,0.022,6.158
21.1,0.001,6.117
21.2,0.011,6.067
21.3,0.053,6.010
21.4,0.126,5.949
21.5,0.227,5.884
21.6,0.353,5.818
21.7,0.500,5.753
21.8,0.664,5.691
21.9,0.838,5.634
22,1.017,5.584
22.1,1.196,5.542
22.2,1.368,5.509
22.3,1.528,5.487
22.4,1.672,5.476
22.5,1.794,5.476
22.6000000000001,1.890,5.488
22.7000000000001,1.957,5.511
22.8000000000001,1.994,5.544
22.9000000000001,1.998,5.586
23.0000000000001,1.970,5.636
23.1000000000001,1.911,5.692
23.2000000000001,1.822,5.751
23.3000000000001,1.707,5.813
23.4000000000001,1.569,5.876
23.5000000000001,1.412,5.936
23.6000000000001,1.242,5.992
23.7000000000001,1.065,6.043
23.8000000000001,0.885,6.087
23.9000000000001,0.709,6.121
24.0000000000001,0.542,6.146
24.1000000000001,0.391,6.160
24.2000000000001,0.259,6.163
24.3000000000001,0.150,6.155
24.4000000000001,0.070,6.136
24.5000000000001,0.019,6.106
24.6000000000001,0.000,6.067
24.7000000000001,0.013,6.020
24.8000000000001,0.059,5.966
24.9000000000001,0.134,5.907
25.0000000000001,0.238,5.846
25.1000000000001,0.366,5.783
25.2000000000001,0.515,5.722
25.3000000000001,0.679,5.663
25.4000000000001,0.854,5.610
25.5000000000001,1.034,5.563
25.6000000000001,1.212,5.524
25.7000000000001,1.384,5.495
25.8000000000001,1.543,5.476
25.9000000000001,1.684,5.468
26.0000000000001,1.804,5.472
26.1000000000001,1.897,5.486
26.2000000000001,1.962,5.512
26.3000000000001,1.995,5.547
26.4000000000001,1.997,5.591
26.5000000000001,1.966,5.642
26.6000000000001,1.904,5.699
26.7000000000001,1.812,5.760
26.8000000000001,1.695,5.823
26.9000000000001,1.555,5.885
27.0000000000001,1.397,5.945
27.1000000000001,1.226,6.002
27.2000000000001,1.048,6.052
27.3000000000001,0.868,6.095
27.4000000000001,0.693,6.129
27.5000000000001,0.528,6.152
27.6000000000001,0.377,6.165
27.7000000000001,0.247,6.167
27.8000000000001,0.142,6.158
27.9000000000001,0.064,6.137
28.0000000000001,0.016,6.106
28.1000000000001,0.000,6.066
28.2000000000001,0.016,6.018
28.3000000000001,0.065,5.964
28.4000000000001,0.143,5.904
28.5000000000001,0.249,5.842
28.6000000000001,0.379,5.780
28.7000000000001,0.530,5.718
28.8000000000001,0.695,5.660
28.9000000000001,0.871,5.606
29.0000000000001,1.050,5.560
29.1000000000001,1.228,5.522
29.2000000000001,1.399,5.494
29.3000000000001,1.557,5.476
29.4000000000001,1.696,5.469
29.5000000000001,1.814,5.473
29.6000000000002,1.905,5.489
29.7000000000002,1.966,5.515
29.8000000000002,1.997,5.551
29.9000000000002,1.995,5.595
30.0000000000002,1.961,5.647
30.1000000000002,1.896,5.704
30.2000000000002,1.802,5.765
30.3000000000002,1.682,5.828
30.4000000000002,1.541,5.891
30.5000000000002,1.381,5.951
30.6000000000002,1.210,6.006
30.7000000000002,1.031,6.056
30.8000000000002,0.852,6.098
30.9000000000002,0.677,6.131
31.0000000000002,0.513,6.154
31.1000000000002,0.364,6.166
31.2000000000002,0.236,6.166
31.3000000000002,0.133,6.156
31.4000000000002,0.058,6.134
31.5000000000002,0.013,6.103
31.6000000000002,0.000,6.062
31.7000000000002,0.020,6.013
31.8000000000002,0.071,5.958
31.9000000000002,0.152,5.899
32.0000000000002,0.260,5.836
32.1000000000002,0.393,5.774
32.2000000000002,0.545,5.712
32.3000000000002,0.711,5.654
32.4000000000002,0.887,5.602
32.5000000000002,1.067,5.556
32.6000000000002,1.245,5.519
32.7000000000002,1.414,5.491
32.8000000000002,1.571,5.474
32.9000000000002,1.708,5.469
33.0000000000002,1.823,5.474
33.1000000000002,1.912,5.491
33.2000000000002,1.970,5.518
33.3000000000002,1.998,5.555
33.4000000000002,1.993,5.600
33.5000000000002,1.956,5.652
33.6000000000002,1.889,5.710
33.7000000000002,1.792,5.771
33.8000000000002,1.670,5.834
33.9000000000002,1.526,5.896
34.0000000000002,1.366,5.956
34.1000000000002,1.193,6.011
34.2000000000002,1.014,6.060
34.3000000000002,0.835,6.101
34.4000000000002,0.661,6.133
34.5000000000002,0.498,6.155
34.6000000000002,0.351,6.166
34.7000000000002,0.226,6.166
34.8000000000002,0.125,6.154
34.9000000000002,0.052,6.132
35.0000000000002,0.011,6.099
35.1000000000002,0.001,6.058
35.2000000000002,0.023,6.008
35.3000000000002,0.077,5.953
35.4000000000002,0.161,5.893
35.5000000000002,0.272,5.830
35.6000000000002,0.406,5.768
35.7000000000002,0.560,5.707
35.8000000000002,0.728,5.649
35.9000000000002,0.904,5.597
36.0000000000002,1.084,5.552
36.1000000000002,1.261,5.516
36.2000000000002,1.430,5.489
36.3000000000002,1.584,5.473
36.4000000000002,1.720,5.469
36.5000000000002,1.833,5.475
36.6000000000003,1.918,5.493
36.7000000000003,1.974,5.521
36.8000000000003,1.999,5.558
36.9000000000003,1.991,5.604
37.0000000000003,1.951,5.657
37.1000000000003,1.881,5.716
37.2000000000003,1.782,5.777
37.3000000000003,1.658,5.840
37.4000000000003,1.512,5.902
37.5000000000003,1.350,5.961
37.6000000000003,1.177,6.016
37.7000000000003,0.998,6.064
37.8000000000003,0.819,6.105
37.9000000000003,0.645,6.136
38.0000000000003,0.484,6.157
38.1000000000003,0.339,6.167
38.2000000000003,0.215,6.165
38.3000000000003,0.117,6.153
38.4000000000003,0.047,6.129
38.5000000000003,0.008,6.096
38.6000000000003,0.001,6.053
38.7000000000003,0.027,6.003
38.8000000000003,0.084,5.947
38.9000000000003,0.170,5.887
39.0000000000003,0.283,5.825
39.1000000000003,0.420,5.762
39.2000000000003,0.575,5.701
39.3000000000003,0.744,5.644
39.4000000000003,0.921,5.593
39.5000000000003,1.101,5.548
39.6000000000003,1.277,5.513
39.7000000000003,1.445,5.487
39.8000000000003,1.598,5.472
39.9000000000003,1.732,5.469
40.0000000000003,1.842,5.476
40.1000000000003,1.925,5.495
40.2000000000003,1.978,5.524
40.3000000000003,2.000,5.562
40.4000000000003,1.989,5.609
40.5000000000003,1.946,5.663
40.6000000000003,1.873,5.721
40.7000000000003,1.771,5.783
40.8000000000003,1.645,5.846
40.9000000000003,1.497,5.908
41.0000000000003,1.334,5.967
41.1000000000003,1.160,6.021
41.2000000000003,0.981,6.069
41.3000000000003,0.802,6.108
41.4000000000003,0.630,6.138
41.5000000000003,0.469,6.158
41.6000000000003,0.326,6.167
41.7000000000003,0.205,6.165
41.8000000000003,0.109,6.151
41.9000000000003,0.042,6.127
42.0000000000003,0.006,6.092
42.1000000000003,0.002,6.049
42.2000000000003,0.031,5.998
42.3000000000003,0.090,5.942
42.4000000000003,0.179,5.881
42.5000000000003,0.295,5.819
42.6000000000003,0.433,5.756
42.7000000000003,0.590,5.696
42.8000000000003,0.760,5.639
42.9000000000003,0.938,5.588
43.0000000000003,1.117,5.545
43.1000000000003,1.293,5.510
43.2000000000003,1.460,5.485
43.3000000000003,1.611,5.472
43.4000000000003,1.743,5.469
43.5000000000003,1.851,5.477
43.6000000000003,1.931,5.497
43.7000000000004,1.981,5.527
43.8000000000004,2.000,5.566
43.9000000000004,1.986,5.614
44.0000000000004,1.940,5.668
44.1000000000004,1.864,5.727
44.2000000000004,1.760,5.789
44.3000000000004,1.632,5.852
44.4000000000004,1.483,5.913
44.5000000000004,1.318,5.972
44.6000000000004,1.143,6.026
44.7000000000004,0.964,6.073
44.8000000000004,0.786,6.111
44.9000000000004,0.614,6.141
45.0000000000004,0.455,6.159
45.1000000000004,0.314,6.167
45.2000000000004,0.195,6.164
45.3000000000004,0.102,6.149
45.4000000000004,0.037,6.124
45.5000000000004,0.004,6.089
45.6000000000004,0.004,6.045
45.7000000000004,0.035,5.993
45.8000000000004,0.098,5.936
45.9000000000004,0.189,5.875
46.0000000000004,0.307,5.813
46.1000000000004,0.447,5.750
46.2000000000004,0.606,5.690
46.3000000000004,0.776,5.634
46.4000000000004,0.955,5.584
46.5000000000004,1.134,5.541
46.6000000000004,1.309,5.507
46.7000000000004,1.475,5.484
46.8000000000004,1.625,5.471
46.9000000000004,1.754,5.469
47.0000000000004,1.860,5.479
47.1000000000004,1.937,5.499
47.2000000000004,1.985,5.530
47.3000000000004,2.000,5.571
47.4000000000004,1.983,5.619
47.5000000000004,1.935,5.673
47.6000000000004,1.856,5.733
47.7000000000004,1.749,5.795
47.8000000000004,1.619,5.857
47.9000000000004,1.468,5.919
48.0000000000004,1.302,5.977
48.1000000000004,1.127,6.030
48.2000000000004,0.947,6.077
48.3000000000004,0.769,6.115
48.4000000000004,0.599,6.143
48.5000000000004,0.441,6.161
48.6000000000004,0.302,6.167
48.7000000000004,0.185,6.163
48.8000000000004,0.094,6.147
48.9000000000004,0.033,6.121
49.0000000000004,0.003,6.085
49.1000000000004,0.005,6.040
49.2000000000004,0.040,5.988
49.3000000000004,0.105,5.931
49.4000000000004,0.199,5.870
49.5000000000004,0.319,5.807
49.6000000000004,0.461,5.745
49.7000000000004,0.621,5.685
49.8000000000004,0.793,5.629
49.9000000000004,0.971,5.579
50.0000000000004,1.151,5.538
50.1000000000004,1.325,5.505
50.2000000000004,1.489,5.482
50.3000000000004,1.638,5.470
50.4000000000004,1.765,5.470
50.5000000000004,1.868,5.480
50.6000000000004,1.943,5.502
50.7000000000005,1.987,5.534
50.8000000000005,2.000,5.575
50.9000000000005,1.980,5.624
51.0000000000005,1.928,5.679
51.1000000000005,1.847,5.738
51.2000000000005,1.738,5.801
51.3000000000005,1.605,5.863
51.4000000000005,1.453,5.925
51.5000000000005,1.286,5.982
51.6000000000005,1.110,6.035
51.7000000000005,0.930,6.081
51.8000000000005,0.753,6.118
51.9000000000005,0.583,6.145
52.0000000000005,0.427,6.162
52.1000000000005,0.290,6.167
52.2000000000005,0.175,6.162
52.3000000000005,0.087,6.145
52.4000000000005,0.029,6.118
52.5000000000005,0.002,6.081
52.6000000000005,0.007,6.035
52.7000000000005,0.044,5.983
52.8000000000005,0.113,5.925
52.9000000000005,0.209,5.864
53.0000000000005,0.332,5.801
53.1000000000005,0.476,5.739
53.2000000000005,0.637,5.679
53.3000000000005,0.809,5.624
53.4000000000005,0.988,5.575
53.5000000000005,1.167,5.534
53.6000000000005,1.341,5.502
53.7000000000005,1.504,5.480
53.8000000000005,1.650,5.470
53.9000000000005,1.776,5.470
54.0000000000005,1.876,5.482
54.1000000000005,1.948,5.504
54.2000000000005,1.990,5.537
54.3000000000005,1.999,5.579
54.4000000000005,1.976,5.628
54.5000000000005,1.922,5.684
54.6000000000005,1.838,5.744
54.7000000000005,1.727,5.806
54.8000000000005,1.592,5.869
54.9000000000005,1.438,5.930
55.0000000000005,1.270,5.988
55.1000000000005,1.093,6.040
55.2000000000005,0.914,6.084
55.3000000000005,0.737,6.121
55.4000000000005,0.568,6.147
55.5000000000005,0.414,6.163
55.6000000000005,0.278,6.167
55.7000000000005,0.166,6.161
55.8000000000005,0.081,6.143
55.9000000000005,0.025,6.115
56.0000000000005,0.001,6.077
56.1000000000005,0.009,6.031
56.2000000000005,0.049,5.978
56.3000000000005,0.120,5.920
56.4000000000005,0.220,5.858
56.5000000000005,0.344,5.795
56.6000000000005,0.490,5.733
56.7000000000005,0.652,5.674
56.8000000000005,0.826,5.619
56.9000000000005,1.005,5.571
57.0000000000005,1.184,5.531
57.1000000000005,1.357,5.500
57.2000000000005,1.518,5.479
57.3000000000005,1.663,5.469
57.4000000000005,1.786,5.471
57.5000000000005,1.884,5.484
57.6000000000005,1.954,5.507
57.7000000000005,1.992,5.541
57.8000000000006,1.999,5.583
57.9000000000006,1.973,5.633
58.0000000000006,1.915,5.690
58.1000000000006,1.829,5.750
58.2000000000006,1.715,5.812
58.3000000000006,1.578,5.875
58.4000000000006,1.423,5.936
58.5000000000006,1.254,5.993
58.6000000000006,1.077,6.044
58.7000000000006,0.897,6.088
58.8000000000006,0.720,6.123
58.9000000000006,0.553,6.149
59.0000000000006,0.400,6.164
59.1000000000006,0.267,6.167
59.2000000000006,0.157,6.160
59.3000000000006,0.074,6.141
59.4000000000006,0.021,6.112
59.5000000000006,0.000,6.073
59.6000000000006,0.012,6.026
59.7000000000006,0.055,5.973
59.8000000000006,0.129,5.914
59.9000000000006,0.230,5.852
60.0000000000006,0.357,5.789
60.1000000000006,0.505,5.727
60.2000000000006,0.668,5.669
60.3000000000006,0.842,5.614
60.4000000000006,1.022,5.567
60.5000000000006,1.200,5.527
60.6000000000006,1.373,5.497
60.7000000000006,1.533,5.478
60.8000000000006,1.676,5.469
60.9000000000006,1.797,5.472
61.0000000000006,1.892,5.485
61.1000000000006,1.959,5.510
61.2000000000006,1.994,5.544
61.3000000000006,1.997,5.588
61.4000000000006,1.969,5.638
61.5000000000006,1.909,5.695
61.6000000000006,1.819,5.756
61.7000000000006,1.703,5.818
61.8000000000006,1.564,5.881
61.9000000000006,1.408,5.941
62.0000000000006,1.238,5.998
62.1000000000006,1.060,6.049
62.2000000000006,0.880,6.092
62.3000000000006,0.704,6.126
62.4000000000006,0.538,6.151
62.5000000000006,0.387,6.165
62.6000000000006,0.255,6.167
62.7000000000006,0.148,6.158
62.8000000000006,0.068,6.139
62.9000000000006,0.018,6.108
63.0000000000006,0.000,6.069
63.1000000000006,0.014,6.021
63.2000000000006,0.060,5.967
63.3000000000006,0.137,5.908
63.4000000000006,0.241,5.846
63.5000000000006,0.370,5.784
63.6000000000006,0.519,5.722
63.7000000000006,0.684,5.663
63.8000000000006,0.859,5.610
63.9000000000006,1.039,5.563
64.0000000000006,1.217,5.524
64.1000000000006,1.388,5.495
64.2000000000006,1.547,5.476
64.3000000000006,1.688,5.469
64.4000000000006,1.807,5.472
64.5000000000006,1.899,5.487
64.6000000000006,1.963,5.513
64.7000000000006,1.996,5.548
64.8000000000006,1.996,5.592
64.9000000000006,1.964,5.644
65.0000000000006,1.901,5.701
65.1000000000006,1.809,5.761
65.2000000000006,1.691,5.824
65.3000000000006,1.551,5.886
65.4000000000006,1.392,5.947
65.5000000000006,1.221,6.003
65.6000000000005,1.043,6.053
65.7000000000005,0.863,6.095
65.8000000000005,0.688,6.129
65.9000000000005,0.523,6.153
66.0000000000005,0.374,6.165
66.1000000000005,0.244,6.167
66.2000000000005,0.139,6.157
66.3000000000005,0.062,6.136
66.4000000000005,0.015,6.105
66.5000000000005,0.000,6.065
66.6000000000005,0.017,6.017
66.7000000000005,0.066,5.962
66.8000000000005,0.145,5.903
66.9000000000005,0.252,5.840
67.0000000000005,0.383,5.778
67.1000000000005,0.534,5.716
67.2000000000005,0.700,5.658
67.3000000000005,0.876,5.605
67.4000000000004,1.055,5.559
67.5000000000004,1.233,5.521
67.6000000000004,1.404,5.493
67.7000000000004,1.561,5.475
67.8000000000004,1.700,5.469
67.9000000000004,1.817,5.473
68.0000000000004,1.907,5.489
68.1000000000004,1.968,5.516
68.2000000000004,1.997,5.552
68.3000000000004,1.995,5.597
68.4000000000004,1.960,5.649
68.5000000000004,1.894,5.706
68.6000000000004,1.799,5.767
68.7000000000004,1.679,5.830
68.8000000000004,1.536,5.892
68.9000000000004,1.377,5.952
69.0000000000004,1.205,6.008
69.1000000000003,1.026,6.057
69.2000000000003,0.847,6.099
69.3000000000003,0.672,6.132
69.4000000000003,0.508,6.154
69.5000000000003,0.361,6.166
69.6000000000003,0.233,6.166
69.7000000000003,0.131,6.155
69.8000000000003,0.056,6.134
69.9000000000003,0.012,6.102
70.0000000000003,0.000,6.061
70.1000000000003,0.021,6.012
70.2000000000003,0.072,5.957
70.3000000000003,0.154,5.897
70.4000000000003,0.264,5.835
